Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
k1bERo,r2Gax2,2024-09-06 2:18:06,Kandy,22 - 25,Male,4th year,Above 100K,Online,Once or Twice,"Instagram, TikTok",,"Kapruka, Daraz, AliExpress",,Never,"2,000 - 4,000",1,1,Sell,1 - 5,No,1 - 5,1 - 5,Thrice or More,"2,500 - 5,000",Never,Never,Yes,Yes,No,No,Yes,"Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Sports wear, Accessories, Footwear (shoes, heels, sandals), Bags & Luggage",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
WBJlLN,GYX0e2,2024-09-06 5:09:58,Kandy,22 - 25,Female,4th year,Below 10K,Online,Thrice or More,Instagram,,"AliExpress, Shein",,Thrice or More,"4,000 - 6,000",1,1,Donate,10+,Yes,1 - 5,1 - 5,Once or Twice,"2,500 - 5,000",Always,Never,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Accessories, Books",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,no
Jx14MJ,p4RvMB,2024-09-06 8:29:50,Colombo,18 -21,Male,3rd year,10K - 50K,In-Store,Thrice or More,WhatsApp,,"Kapruka, Shein",,Once or Twice,"Below 2,000",3,2,Donate,None,Yes,None,1 - 5,Once or Twice,"Less than 2,500",Rarely,Never,No,Yes,No,Yes,No,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Sustainability of the service,,
RaxKlQ,92pyq4,2024-09-06 9:59:51,Keppetipola ,25+,Male,4th year,Below 10K,Online,Once or Twice,Facebook,,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",2,3,Donate,1 - 5,No,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Delivery Charges",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Save money,,
EEKzY2,6rAy85,2024-09-06 9:59:52,Kandy,22 - 25,Male,1st year,Below 10K,Online,Thrice or More,"Facebook, Instagram, TikTok, WhatsApp",,"AliExpress, Daraz, Kapruka",,Once or Twice,"2,000 - 4,000",2,2,Donate,10+,Yes,6+,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,No,No,No,Yes,No,Delivery Charges,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,"Yes, I would sell",Opportunity for extra income,,
jYZD21,bNKy5E,2024-09-06 9:59:53,Ambalangoda ,22 - 25,Female,1st year,Not Employed,Online,Once or Twice,Instagram,,"Other, Kapruka",,Thrice or More,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,4-6,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Never,Yes,Yes,No,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Footwear (shoes, heels, sandals), Accessories",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
NQr52O,yejR26,2024-09-06 10:01:11,Warakapola ,22 - 25,Male,1st year,Not Employed,In-Store,Never,Other,,Other,,Once or Twice,"Below 2,000",1,3,Donate,1 - 5,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Always,Yes,Yes,No,Yes,Yes,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Functionality,,
v1MGyX,gWY1Nl,2024-09-06 10:05:31,Kurunegala,22 - 25,Male,1st year,Below 10K,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,No,None,6 - 10,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear), Sports wear, Home wear, Books",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
ZK8jRB,YVpvkq,2024-09-06 10:07:48,Kudunegala,25+,Male,4th year,Not Employed,Online,Once or Twice,"Facebook, Instagram, TikTok",,"AliExpress, eBay",,Once or Twice,"2,000 - 4,000",3,3,Donate,10+,Yes,6+,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Self-Esteem",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Home wear, Footwear (shoes, heels, sandals), Accessories",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
ag9Qzq,kOK1pj,2024-09-06 10:09:23,Chilaw,22 - 25,Male,1st year,Not Employed,Online,Never,"Facebook, TikTok, Instagram",,"AliExpress, Daraz, eBay",,Never,"4,000 - 6,000",2,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Home wear, Footwear (shoes, heels, sandals), Bags & Luggage, Books",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,Sustainability of the service,,
